question,answer
응급처치란?,갑자기 발생한 외상이나 질환에 대해 발생한 장소에서 최소한도의 치료를 진행하는 것.
3c,"Check, Call, Care 를 뜻함.
Check : 의식 및 호흡확인, 안전 및 주변환경 확인. Call : 119 신고.
Care : 환자 케어 및 처치."
출혈 시 응급처치요령,"상처의 범위와 정도 파악.
의료용 장갑을 끼고 출혈 부위 확인.
거즈나 깨끗한 천으로 상처 부위를 덮고 손으로 직접 압박. 부목으로 상처부위를 고정."
저체온증 응급처치요령,"담요나 핫팩으로 체온을 높혀주고, 정상체온인 사람의 체온을 전달해준다.
환자의 옷이 젖어 있다면 마른 옷으로 갈아입혀야 한다."
골절 시 응급처치요령,"다친 부위를 심장보다 높게 올리고, 부목 등을 이용해 해당 부위를 고정시킨다.
열린 상처가 있을 경우 깨끗한 거즈나 수건으로 상처부위를 압박 지혈한다."
AED 제세동기란?,심장정지 시 심장 박동을 정상화 하기위해 전기충격을 가하는 장비.
전기충격기 사용 시 주의사항,반드시 다른 사람이 환자에게서 떨어졌는지 확인하여 감전에 유의해야 한다.
심폐소생 시 가슴을 이완 해야 하는 이유,"원활한 혈액 순환을 위해 가슴 이완을 확인해야 한다.
이완이 덜 된 상태에서 다시 압박을 하게 된다면 심자에서 내보내지는 혈액양이 적어 져 소생효과가 떨어진다."
제세동이 필요없다고 할 시 최초 수용자가 해야할 것,"제세동이 필요없다는 음성지시가 나오면, 즉시 심폐소생술을 시작해야 한다."
bcaa에 대해 설명하시오.,"분지 사슬 아미노산으로 류신, 이소류린, 발린을 의미함. 손상된 근육 회복과 근육의 피로를 막는데 도움을 준다. 체내에서 합성하지 못하기 때문에 음식물로 섭취해야 하며, 운동 전과 운동 중에 섭취 하는 것이 효과적."
피트니스의 정의,"체력과 같은 뜻으로 사용되며, 밸런스 잡힌 건강한 신체를 만들어내는 일, 또는 그것을 위한 운동을 뜻하는 말이다."
아드레날린,"생명체의 교감신경을 흥분시켜 혈당량 증가와 혈압 상승, 지혈등의 작용을 하는 호르 몬.
신체가 위협에 대응하여 100%의 에너지를 사용할 수 있도록 도와주는 호르몬."
지방의 역할,"지방은 에너지를 내는 주요 물질이며, 유산소성 운동에서 주 원료로 사용된다.
또한 장기를 보호하고 체온을 유지시키는 역할을 한다."
"포화지방, 불포화지방","포화지방은 붉은 고기, 마요네즈에 많고, 고온에서 응고가 잘 되며, 과다 섭취시 심혈 관 질환을 야기한다. 불포화지방은 견과류에 많으고, 응고가 잘 안되며, 혈액순환을 돕고 체내 축적이 잘 안되는 특징이 있다."
