gubun,gubun_1,question,answer
지도방법,과학적 지도방법,운동 한시간전 당섭취 이유,당은 우리 몸의 에너지원으로서 탄수화물을 섭취하지 않으면 단백질을 에너지로 사용해서 근손실을 유발시킬 수 있기 때문입니다. 또한 운동 전에 섭취하면 경기력 향상에 도움을 줄 수 있습니다.
지도방법,과학적 지도방법,운동중 수분섭취 이유,운동 중 땀을 많이 흘리면 혈액 내 수분이 줄고 체내에 공급되는 산소와 영양소도 줄어 운동 효율성이 떨어집니다.  또한 체온조절도 어렵기 때문에 운동 중에는 수분공급이 필요합니다
지도방법,과학적 지도방법,HDL란?,고밀도 지질 단백질로 혈액에 있는 콜레스트롤을 간으로 이동시켜주는 역할을 합니다. 혈중 콜레스트롤 수치를 낮춰주는 역할을 합니다. 혈관질환에 좋으며 견과류에 많이 포함되어있습니다.
지도방법,과학적 지도방법,카보로딩,선수들이 3~4일전에 탄수화물 섭취량을 늘려 글리코겐 저장량을 높이는 방법.
지도방법,과학적 지도방법,아드레날린이란?,"아드레날린은 스트레스 상황에서 분비되어 심박수, 혈압, 근육 수축력을 증가시키는 호르몬입니다. 대비반응을 강화하여 신체의 빠른 대처와 반응을 돕습니다."
지도방법,과학적 지도방법,유연성이 무엇인가,관절가동범위로 근육이 이완되는 길이 입니다 그에대한 효과는 관절의 가동범위를 늘리는 트레이닝으로 부상을 방지하고 운동수행능력 향상에 효과가 있음
지도방법,과학적 지도방법,저혈당쇼크 출혈성 쇼크 설명,저혈당쇼크는 에너지 보충이 충분하지 않을 때 고강도 운동을 지속함으로써 쇼크가 오는 것으로 의식이 있다면 빠른 당 보충 의식이 없다면  수액을 맞아야합니다. 출혈성 쇼크시에는 외상 등으로 혈액이 과다출혈되어 혈액이 순환되는 양보다 많은 양이 유실되어서 일어납니다. 이런 경우 빠른 수혈과 다리를 거상시켜 심장으로 피를 보내야합니다.
지도방법,과학적 지도방법,Hdl ldl 차이,"HDL 고밀도 지질 단백질로 좋은 콜레스트롤, 견과류에 많이 함유, LDL 낮춰줌/LDL 저밀도 지질 단백질로 나쁜 콜레스트롤, 적색 육류에 많이 함유"
지도방법,과학적 지도방법,근력운동 이후에 에너지 섭취,"근력 운동 이후 약 30분간 기회의 창이 활성화될 때 단백질 및 탄수화물을 섭취하여 근회복에 기여하고, 근육의 글리코겐 축적을 유도해 부피감을 줄 수 있게끔 하는 것이 좋습니다"
지도방법,과학적 지도방법,6대 영양소란?,탄수화물 단백질 지방 무기물 비타민 물
지도방법,과학적 지도방법,BCAA란,"분지사슬 아미노산으로 필수아미노산인 류신, 이소류신 , 발린을 말한다. 근합성,피로회복,면연력 증가에 도움이 되며 체내에서 흡수되지 않기 때문에 반드시 음식을 통해 섭취한다"
지도방법,과학적 지도방법,지방의 역할,"유산소 대사의 주 에너지원으로 체온유지, 장기보호의 역할을 합니다"
지도방법,과학적 지도방법,아나볼릭 카타볼릭,아나볼릭은 근육에 단백질을 합성해주는 작용이며 카타볼릭은 근육이 분해되는 작용을 의미합니다.
지도방법,과학적 지도방법,발살바호흡의 장단점,장점- 발살바 호흡을 최대한 들여마셔  체내에 복압을 유지하여  상체 지지력을 최대한 으로하여 스트렝스 운동시 부상 예방을 할 수있고/단점- 고혈압환자 또는 심혈관 질환을 앓고 있는 사람 혹는 노인에겐 위험할수있음 
지도방법,과학적 지도방법,호흡교환율이란?,운동중 배출한 이산화탄소의 양과 산소섭취 양의 비율을 뜻합니다
지도방법,과학적 지도방법,발살바 호흡법,호흡을 들이마시고 고정한 채로 상체의 지지력을 최대화하는 리프팅 방식. 근육이 수축할 때 호흡을 멈춤. 고중량 들 때 효과적이나 고혈압 등의 성인병 환자에게는 비추
지도방법,과학적 지도방법,탈수증상 3개,(체내 수분부족으로) 입과 목이 건조해진다. 소변량 감소한다. 전해질 농도 불균형으로 인한 피로 및 신체 약화된다
지도방법,과학적 지도방법,골지건기관과 근방추,골지건기관-한 근육의 양쪽 끝에 있는 건 속에 있는 기관. 근육 수축을 탐지하여 지나치게 강한 근육 수축에 브레이크를 거는 역할을 한다./근방추-근섬유의 수축을 감지하여 과도하게 신장하는 경우 이를 미연에 방지해 신체 한계 이상의 움직임이 발생하여 손상되지 않게끔 하는 역할을 수행하는 수용기입니다.
지도방법,과학적 지도방법,카페인의 효과와 적정섭취량,중추신경을 흥분시켜 유산소 운동시 지방을 최대로 활용할 수 있게 해주며 근지구력을 높여 세트와 반복횟수를 놓일 수있어 근성장에 도움을 줍니다. 적정 섭취량 일반성인 400mg이하입니다.
지도방법,과학적 지도방법,목표심박수 구하는법,(카이보넨 공식) (최대심박수 안정시심박수)x운동강도+안정시심박수 입니다.
지도방법,과학적 지도방법,필수아미노산이란,"체내에합성되지 않거나 매우 적어 반드시 음식으로 섭취해야하는 아미노산, 류신,이소류신,발린,라이신,트레오닌,메티오닌,테닐알라닌,트립토판,히스티딘"
지도방법,과학적 지도방법,심장자극전도계 ,"심장에 있는 특수 심장 근육으로 이루어진 전도 계통. 굴심방 결절, 방실 결절, 방실 속 전도 섬유로 이루어져 있다."
지도방법,과학적 지도방법,로책상태,고강도 운동 시 근육 최대근력구간에서 호흡을 멈춘 긴장 상태
지도방법,과학적 지도방법,생체전기저항 분석법 (임피던스법),기계로 체지방량을 직접 측정하는 방법 중 하나로 신체에 미세한 전류를 흘려보내 신체의 구성을 측정 / 체지방이 많을수록 전기저항이 크다는 원리에 기초한 신체구성 측정방법이다.
지도방법,과학적 지도방법,위성세포란,근육의 성장과 발달을 도와주는 세포로 근초와 박막 위에 위치하는 독립적인세포
지도방법,과학적 지도방법,EPOC란?(과다산소섭취량?),운동 후 발생하는 산소 섭취량으로 운동 기간과 강도에 비례해 나타남/휴식할 때 보다 운동 후 산소를 더 많이 소비함 (산소 부채)
지도방법,과학적 지도방법,MET란?,MET는 대사당량을 의미하며 ACSM 가이드라인에 따르면 건강한 성인기준 3.0~5.9.를 중강도라고합니다
지도방법,과학적 지도방법,골격근의 주요기능 3가지,수의근으로 뼈에 붙어 움직임/이완과 수축으로 동작을 함/뼈를 보호하고 체온유지
지도방법,과학적 지도방법,운동할 때 쓰이는 탄수화물,운동시에는 탄수화물의 분해물질인 글리코겐이 사용되며 근육내 글리코겐이 사용됨
지도방법,과학적 지도방법,"흡기, 호기 근육 3가지씩 ",흡기- 횡격막 외늑간근 사각근 흉쇄유돌근/호기- 외복사근 내복사근 복횡근 복직근 내늑간근
지도방법,과학적 지도방법,신경전달물질 호르몬 ,"신경전달물질- 도파민, 세로토닌, 아세틸콜린, GABA, 글루타메이트 등/호르몬- 인슐린, 에스트로겐, 테스토스테론, 갑상선 호르몬 등"
지도방법,과학적 지도방법,오버트레이닝이란,"과도한 운동으로 인해 휴식과 영양이 결핍되어 일어날 수 있는 근육의 만성적 통증, 피로감, 무기력 등을 느끼는 것을 말합니다."
지도방법,과학적 지도방법,췌장에 분비된 글루카곤에 대해,췌장에서 분비되는 혈당을 높이는 호르몬. 인슐린과 반대되는 호르몬.
지도방법,과학적 지도방법,비타민이란?,비타민이란 우리몸의 필수영양소 중 하나로 에너지대사과정에서 보조역할을 하며 영양분 흡수를 돕고 항산화작용을 하며 지용성과 수용성 비타민이 있습니다.
지도방법,과학적 지도방법,아미노산 종류 9가지,류신 이소류신 발린 메카오닌 트레오닌 트립토판 히스티딘 페닐알라닌 리신
지도방법,과학적 지도방법,DOMS(지연성 근육통)란?,"운동 직후가 아닌 2~3일 후에 나타나는 통증, 근섬유의 미세한 파열로 통증이 발생하는데 회복하기 까지 보통 5~7일정도 걸림"
지도방법,규정포즈,남자보디빌딩규정포즈7가지,프론트 더블바이셉스 / 프론트 랫 스프레드 / 사이드 체스트 / 백 더블 바이셉스 / 백 랫 스프레드 / 사이드 트라이셉스 / 업도미널 앤 타이
지도방법,규정포즈,여자피지크 규정포즈 와 쿼터턴4가지,프론트더블바이셉스 사이드체스트 사아드트라이셉스 백더블바이셉스 / 프론트포지션 쿼터턴라이트 쿼터턴백 쿼터턴라이트 
지도방법,규정포즈,비키니 심사포즈,"비키니 대회에서는 크게 쿼터 턴과 I 워킹을 심사합니다. I 워킹의 경우, 선수가 무대 가장자리에서 중심으로 걸어올 때부터 그 평가가 시작되며, 무대 중앙에서 4가지 포즈를 음악에 맞추어 취해야 합니다.(프론트 포지션, 쿼터턴 라이트, 쿼터턴 백, 쿼터턴 라이트)"
지도방법,웨이트트레이닝,남자 프론트 더블 바이셉스 지도방법,정면에서 두 팔을 들어 어깨와 수평을 이루게 한 후 팔꿈치를 구부립니다. 한발은 40~50cm 바깥쪽 앞으로 둡니다. 심판은 이두근과 전완근을 중요하게 평가합니다. 주먹을 꽉쥐어 이두근과 전완근의 수축을 가져갑니다. 심판은 전체 골격을 심사하므로 전면에서 보이는 많은 근육을 수축하기 위해 노력해야합니다.
지도방법,웨이트트레이닝,카프레이즈 지도방법,앉은 상태로 발뒤꿈치를 최대한 들어 올리고 내릴 때 발뒤꿈치가 지면에 닿기 전에 다시 올린다.
지도방법,웨이트트레이닝,백더블바이셉스의 지도방법,"선수는 뒷모습이 심판에게 보이게 서서 두 팔과 팔목부분을 프더바 동작과 똑같이 한다. 한쪽 다리를 발 앞으로 착지하고, 발꿈치를 쳐든다. 팔과 어깨, 등 근육을 수축하고 허벅다리, 종아리도 힘껏 수축한다."
지도방법,웨이트트레이닝,라잉트라이셉스 익스텐션 지도방법,벤치에 등을 대고 누워 가슴은 들고 척추는 정상 만곡을 유지한 후 양손의 간격을 어깨너비보다 좁게 하여 바벨을 머리 쪽으로 내립니다. 바벨을 잡은 팔이 지면과 수직이 되도록 잡고  바를 내릴 때 숨을 들이마시고 올릴 때 내뱉습니다.
