gubun,gubun_1,gubun_2,question,answer,,,,,,,,,,
규정,협회최신규정,경기인 등록 규정,경기인을 설명하시오.,"선수, 지도자, 심판, 선수 관리 담당자",,,,,,,,,,
규정,협회최신규정,경기인 등록 규정,경기인 등록규정 목적은 무엇인가?,경기인의 건전하고 효율적인 육성과 우리나라 체육의 균형 발전을 목적으로 한다.,,,,,,,,,,
규정,협회최신규정,경기인 등록 규정,체육 동호인부를 설명하시오.,생활 체육 활동을 목적으로 하는 선수로 구성된 운동부,,,,,,,,,,
규정,협회최신규정,경기인 등록 규정,운동 경기부와 직장 운동 경기부를 설명하시오.,"운동 경기부는 선수로 구성된 학교, 직장의 운동부, 직장 운동 경기부는 직장의 장이 선수와 근로 계약을 체결하여 운영하는 운동부",,,,,,,,,,
규정,협회최신규정,경기인 등록 규정,경기인 등록은 어디서 하는가?,대한 체육회 경기인 등록 시스템,,,,,,,,,,
규정,협회최신규정,경기인 등록 규정,경기인으로 등록할 때 필요한 교육은 무엇인가?,"스포츠 인권, 도핑방지 교육 이수",,,,,,,,,,
규정,협회최신규정,경기인 등록 규정,경기인 등록시 제출 서류는 무엇인가?,스포츠 인권 서약서 제출,,,,,,,,,,
규정,협회최신규정,경기인 등록 규정,경기인의 등록기간은 언제인가?,"신규 선수, 지도자, 심판은 수시 등록 가능 / 기존 선수 등록은 1차 기간은 4월 10일까지, 2차 기간은 7월 10일~30일 까지 가능",,,,,,,,,,
규정,협회최신규정,경기인 등록 규정,경기인 등록구분은 어떻게 되는가?,"육성이 목적이라면 13세 이하부/16세 이하부 두가지로 나뉘지만, 전문 또는 생활 체육 목적이라면 19세 이하부/대학부/일반부로 나뉜다.",,,,,,,,,,
규정,협회최신규정,경기인 등록 규정,경기인 등록 규정 중 일반인은 누구인가?,20세 이상 대학생 신분이 아닌 자,,,,,,,,,,
규정,협회최신규정,경기인 등록 규정,경기인 등록 결격 사유로서 선수로 등록할 수 없는자를 설명하시오.(최소 3가지),"스포츠 공정위원회로부터 제명 징계를 받은 사람, 자격 정지 징계를 받아 자격 정지 중인사람, 승부 조작에 가담하여 유죄판결이 확정된 사람, 미성년자 성폭행 범죄 이력이 있는 사람, 당해년도 심판으로 등록한 사람",,,,,,,,,,
규정,협회최신규정,경기인 등록 규정,경기인 등록 결격사유를 위반하여 등록한 자에 대한 조치는 무엇인가?,1년이상 5년이하의 등록 금지 조치 (스포츠 공정위원회 재량으로 기간 결정),,,,,,,,,,
규정,협회최신규정,경기인 등록 규정,전문 선수와 생활체육 선수의 선수활동 제한사항을 말하시오.,"당해연도 전문체육목적으로 등록한 사람은 전문체육 대회만, 생활체육목적으로 등록한 사람은 생활체육 대회만 참가 가능",,,,,,,,,,
