gubun,gubun_1,gubun_2,question,answer
규정,협회최신규정,경기인 공통 규정,경기인을 설명하시오.,"선수, 지도자, 심판, 선수 관리 담당자"
규정,협회최신규정,경기인 등록 규정,경기인의 등록기간은 언제인가?,"신규 선수, 지도자, 심판은 수시 등록 가능 / 기존 선수 등록은 1차 기간은 4월 10일까지, 2차 기간은 7월 10일~30일 까지 가능"
규정,협회최신규정,경기인 등록 규정,경기인 등록은 어디서 하는가?,대한 체육회 경기인 등록 시스템
규정,협회최신규정,경기인 등록 규정,경기인별 등록 방법에 대해 설명하시오.,"선수,지도자의 경우 등록 시스템 신청, 신청서 및 스포츠인권서약서 등을 시/도지부에 제출, 시/도지부 승인, 협회승인 / 감독의 경우 심판 자격 획득, 등록 시스템 신청, 협회 승인 완료"
규정,협회최신규정,경기인 등록 규정,경기인 등록구분은 어떻게 되는가?,"육성이 목적이라면 13세 이하부/16세 이하부 두가지로 나뉘지만, 전문 또는 생활 체육 목적이라면 19세 이하부/대학부/일반부로 나뉜다."
규정,협회최신규정,경기인 등록 규정,경기인 등록규정 목적은(이유는) 무엇인가?,경기인의 건전하고 효율적인 육성과 우리나라 체육의 균형 발전을 목적으로 한다.
규정,협회최신규정,경기인 등록 규정,경기인 등록시 제출 서류는 무엇인가?,스포츠 인권 서약서 제출
규정,협회최신규정,경기인 등록 규정,경기인 등록지 변경 방법에 대해서 설명하시오.,등록지 변경 후 이적동의서 협회 제출
규정,협회최신규정,경기인 등록 규정,경기인으로 등록할 때 필요한 교육은 무엇인가?,"스포츠 인권, 도핑방지 교육 이수"
규정,협회최신규정,경기인 등록 규정,경기인 등록 규정 중 일반인은 누구인가?,20세 이상 대학생 신분이 아닌 자
규정,협회최신규정,경기인 등록 규정,경기인 등록 결격 사유로서 선수로 등록할 수 없는자를 설명하시오.(최소 3가지),"스포츠 공정위원회로부터 제명 징계를 받은 사람, 자격 정지 징계를 받아 자격 정지 중인사람, 승부 조작에 가담하여 유죄판결이 확정된 사람, 미성년자 성폭행 범죄 이력이 있는 사람, 당해년도 심판으로 등록한 사람"
규정,협회최신규정,경기인 등록 규정,경기인 등록 결격사유를 위반하여 등록한 자에 대한 조치는 무엇인가?,1년이상 5년이하의 등록 금지 조치 (스포츠 공정위원회 재량으로 기간 결정)
규정,협회최신규정,경기인 등록 규정,대한보디빌딩협회에서 받아야 할 교육은 무엇인가?,"인성교육, 성폭력교육, 도핑예방교육, 리더십교육"
규정,협회최신규정,선수 규정,선수의 등록사항에 대하여 말하시오.,"운동경기부, 스포츠클럽, 체육동호인부 등의 소속을 가지고 매년 협회에 등록해야 선수로 활동 가능"
